547,534,541,540,558,543,538,558,529,545
1058,1100,1071,1080,1087,1105,1079,1102,1102,1071
1657,1696,1614,1677,1635,1624,1649,1638,1659,1660
2140,2175,2168,2168,2163,2135,2142,2174,2178,2184
2819,2823,2787,2739,2769
